Organism(sign=Y,strength=5,initiative=4,pos_x=34,pos_y=10,_id=15,is_alive=1,skill_counter=2,is_skill_activated=1)
Organism(sign=O,strength=4,initiative=4,pos_x=10,pos_y=7,_id=2,is_alive=1)
Organism(sign=M,strength=0,initiative=0,pos_x=38,pos_y=15,_id=122,is_alive=1)
Organism(sign=M,strength=0,initiative=0,pos_x=37,pos_y=16,_id=123,is_alive=1)
Organism(sign=M,strength=0,initiative=0,pos_x=42,pos_y=17,_id=124,is_alive=1)
Organism(sign=M,strength=0,initiative=0,pos_x=43,pos_y=18,_id=125,is_alive=1)
Organism(sign=M,strength=0,initiative=0,pos_x=44,pos_y=19,_id=127,is_alive=1)
Organism(sign=N,strength=99,initiative=0,pos_x=46,pos_y=19,_id=135,is_alive=1)
Organism(sign=N,strength=99,initiative=0,pos_x=47,pos_y=16,_id=145,is_alive=1)
Organism(sign=G,strength=0,initiative=0,pos_x=39,pos_y=2,_id=146,is_alive=1)
Organism(sign=G,strength=0,initiative=0,pos_x=41,pos_y=1,_id=147,is_alive=1)
Organism(sign=M,strength=0,initiative=0,pos_x=36,pos_y=17,_id=166,is_alive=1)
Organism(sign=G,strength=0,initiative=0,pos_x=38,pos_y=1,_id=170,is_alive=1)
Organism(sign=N,strength=99,initiative=0,pos_x=47,pos_y=17,_id=171,is_alive=1)
Organism(sign=G,strength=0,initiative=0,pos_x=43,pos_y=0,_id=172,is_alive=1)
Organism(sign=M,strength=0,initiative=0,pos_x=35,pos_y=18,_id=173,is_alive=1)
Organism(sign=M,strength=0,initiative=0,pos_x=39,pos_y=13,_id=176,is_alive=1)
Organism(sign=M,strength=0,initiative=0,pos_x=40,pos_y=14,_id=177,is_alive=1)
Organism(sign=M,strength=0,initiative=0,pos_x=37,pos_y=15,_id=178,is_alive=1)
Organism(sign=M,strength=0,initiative=0,pos_x=36,pos_y=16,_id=179,is_alive=1)
Organism(sign=M,strength=0,initiative=0,pos_x=42,pos_y=16,_id=180,is_alive=1)
Organism(sign=M,strength=0,initiative=0,pos_x=43,pos_y=17,_id=181,is_alive=1)
Organism(sign=M,strength=0,initiative=0,pos_x=44,pos_y=18,_id=182,is_alive=1)
Organism(sign=M,strength=0,initiative=0,pos_x=45,pos_y=19,_id=185,is_alive=1)
Organism(sign=T,strength=2,initiative=1,pos_x=0,pos_y=16,_id=190,is_alive=1)
Organism(sign=G,strength=0,initiative=0,pos_x=37,pos_y=0,_id=225,is_alive=1)
Organism(sign=M,strength=0,initiative=0,pos_x=34,pos_y=19,_id=228,is_alive=1)
Organism(sign=M,strength=0,initiative=0,pos_x=38,pos_y=14,_id=230,is_alive=1)
Organism(sign=M,strength=0,initiative=0,pos_x=41,pos_y=15,_id=231,is_alive=1)
Organism(sign=N,strength=99,initiative=0,pos_x=47,pos_y=19,_id=243,is_alive=1)
Organism(sign=G,strength=0,initiative=0,pos_x=42,pos_y=1,_id=244,is_alive=1)
Organism(sign=M,strength=0,initiative=0,pos_x=35,pos_y=17,_id=245,is_alive=1)
Organism(sign=M,strength=0,initiative=0,pos_x=34,pos_y=18,_id=246,is_alive=1)
Organism(sign=M,strength=0,initiative=0,pos_x=39,pos_y=12,_id=249,is_alive=1)
Organism(sign=M,strength=0,initiative=0,pos_x=40,pos_y=13,_id=250,is_alive=1)
Organism(sign=M,strength=0,initiative=0,pos_x=41,pos_y=14,_id=251,is_alive=1)
Organism(sign=M,strength=0,initiative=0,pos_x=37,pos_y=14,_id=253,is_alive=1)
Organism(sign=M,strength=0,initiative=0,pos_x=36,pos_y=15,_id=254,is_alive=1)
Organism(sign=M,strength=0,initiative=0,pos_x=43,pos_y=16,_id=255,is_alive=1)
Organism(sign=M,strength=0,initiative=0,pos_x=44,pos_y=17,_id=256,is_alive=1)
Organism(sign=M,strength=0,initiative=0,pos_x=45,pos_y=18,_id=257,is_alive=1)
